NHGIS,Name
  AMZAE009:," Population of two or more races"
  AMZAE010:," Population of two or more races: Two races including Some other race"
  AMZAE011:," Population of two or more races: Two races excluding Some other race, and three or more races"
  AMZAE012:," Population of two or more races: Population of two races"
  AMZAE013:," Population of two or more races: Population of two races: White; Black or African American"
  AMZAE014:," Population of two or more races: Population of two races: White; American Indian and Alaska Native"
  AMZAE015:," Population of two or more races: Population of two races: White; Asian"
  AMZAE016:," Population of two or more races: Population of two races: Black or African American; American Indian and Alaska Native"
  AMZAE017:," Population of two or more races: Population of two races: All other two race combinations"
  AMZAE018:," Population of two or more races: Population of three races"
  AMZAE019:," Population of two or more races: Population of four or more races"
  AMPYE001:," Total"
  AMP3E001:," Total"
  AMP3E002:," Not Hispanic or Latino"
  AMP3E003:," Not Hispanic or Latino: White alone"
  AMP3E004:," Not Hispanic or Latino: Black or African American alone"
  AMP3E005:," Not Hispanic or Latino: American Indian and Alaska Native alone"
  AMP3E006:," Not Hispanic or Latino: Asian alone"
  AMP3E007:," Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
  AMP3E008:," Not Hispanic or Latino: Some other race alone"
  AMP3E009:," Not Hispanic or Latino: Two or more races"
  AMP3E010:," Not Hispanic or Latino: Two or more races: Two races including Some other race"
  AMP3E011:," Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races"
  AMP3E012:," Hispanic or Latino"
  AMP3E013:," Hispanic or Latino: White alone"
  AMP3E014:," Hispanic or Latino: Black or African American alone"
  AMP3E015:," Hispanic or Latino: American Indian and Alaska Native alone"
  AMP3E016:," Hispanic or Latino: Asian alone"
  AMP3E017:," Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
  AMP3E018:," Hispanic or Latino: Some other race alone"
  AMP3E019:," Hispanic or Latino: Two or more races"
  AMP3E020:," Hispanic or Latino: Two or more races: Two races including Some other race"
  AMP3E021:," Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races"
  AMP4E001:," Total"
  AMP4E002:," Not Hispanic or Latino"
  AMP4E003:," Hispanic or Latino"
  AMP5E001:," Total"
  AMP5E002:," Same house 1 year ago"
  AMP5E003:," Different house in United States 1 year ago"
  AMP5E004:," Different house in United States 1 year ago: Same Metropolitan Statistical Area"
  AMP5E005:," Different house in United States 1 year ago: Same Metropolitan Statistical Area: Moved from principal city"
  AMP5E006:," Different house in United States 1 year ago: Same Metropolitan Statistical Area: Moved from remainder of Metropolitan Statistical Area"
  AMP5E007:," Different house in United States 1 year ago: Different Metropolitan Statistical Area"
  AMP5E008:," Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from principal city"
  AMP5E009:," Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from remainder of Metropolitan Statistical Area"
  AMP5E010:," Different house in United States 1 year ago: Micropolitan Statistical Area"
  AMP5E011:," Different house in United States 1 year ago: Micropolitan Statistical Area: Moved from principal city"
  AMP5E012:," Different house in United States 1 year ago: Micropolitan Statistical Area: Moved from remainder of Micropolitan Statistical Area"
  AMP5E013:," Different house in United States 1 year ago: Not in a Metropolitan or Micropolitan Statistical Area 1 year ago"
  AMP5E014:," Abroad 1 year ago"
  AMQHE001:," Total"
  AMQHE002:," Less than 10 minutes"
  AMQHE003:," 10 to 14 minutes"
  AMQHE004:," 15 to 19 minutes"
  AMQHE005:," 20 to 24 minutes"
  AMQHE006:," 25 to 29 minutes"
  AMQHE007:," 30 to 34 minutes"
  AMQHE008:," 35 to 44 minutes"
  AMQHE009:," 45 to 59 minutes"
  AMQHE010:," 60 or more minutes"
  AMQHE011:," Car, truck, or van"
  AMQHE012:," Car, truck, or van: Less than 10 minutes"
  AMQHE013:," Car, truck, or van: 10 to 14 minutes"
  AMQHE014:," Car, truck, or van: 15 to 19 minutes"
  AMQHE015:," Car, truck, or van: 20 to 24 minutes"
  AMQHE016:," Car, truck, or van: 25 to 29 minutes"
  AMQHE017:," Car, truck, or van: 30 to 34 minutes"
  AMQHE018:," Car, truck, or van: 35 to 44 minutes"
  AMQHE019:," Car, truck, or van: 45 to 59 minutes"
  AMQHE020:," Car, truck, or van: 60 or more minutes"
  AMQHE021:," Car, truck, or van: Drove alone"
  AMQHE022:," Car, truck, or van: Drove alone: Less than 10 minutes"
  AMQHE023:," Car, truck, or van: Drove alone: 10 to 14 minutes"
  AMQHE024:," Car, truck, or van: Drove alone: 15 to 19 minutes"
  AMQHE025:," Car, truck, or van: Drove alone: 20 to 24 minutes"
  AMQHE026:," Car, truck, or van: Drove alone: 25 to 29 minutes"
  AMQHE027:," Car, truck, or van: Drove alone: 30 to 34 minutes"
  AMQHE028:," Car, truck, or van: Drove alone: 35 to 44 minutes"
  AMQHE029:," Car, truck, or van: Drove alone: 45 to 59 minutes"
  AMQHE030:," Car, truck, or van: Drove alone: 60 or more minutes"
  AMQHE031:," Car, truck, or van: Carpooled"
  AMQHE032:," Car, truck, or van: Carpooled: Less than 10 minutes"
  AMQHE033:," Car, truck, or van: Carpooled: 10 to 14 minutes"
  AMQHE034:," Car, truck, or van: Carpooled: 15 to 19 minutes"
  AMQHE035:," Car, truck, or van: Carpooled: 20 to 24 minutes"
  AMQHE036:," Car, truck, or van: Carpooled: 25 to 29 minutes"
  AMQHE037:," Car, truck, or van: Carpooled: 30 to 34 minutes"
  AMQHE038:," Car, truck, or van: Carpooled: 35 to 44 minutes"
  AMQHE039:," Car, truck, or van: Carpooled: 45 to 59 minutes"
  AMQHE040:," Car, truck, or van: Carpooled: 60 or more minutes"
  AMQHE041:," Car, truck, or van: Carpooled: In 2-person carpool"
  AMQHE042:," Car, truck, or van: Carpooled: In 2-person carpool: Less than 10 minutes"
  AMQHE043:," Car, truck, or van: Carpooled: In 2-person carpool: 10 to 14 minutes"
  AMQHE044:," Car, truck, or van: Carpooled: In 2-person carpool: 15 to 19 minutes"
  AMQHE045:," Car, truck, or van: Carpooled: In 2-person carpool: 20 to 24 minutes"
  AMQHE046:," Car, truck, or van: Carpooled: In 2-person carpool: 25 to 29 minutes"
  AMQHE047:," Car, truck, or van: Carpooled: In 2-person carpool: 30 to 34 minutes"
  AMQHE048:," Car, truck, or van: Carpooled: In 2-person carpool: 35 to 44 minutes"
  AMQHE049:," Car, truck, or van: Carpooled: In 2-person carpool: 45 to 59 minutes"
  AMQHE050:," Car, truck, or van: Carpooled: In 2-person carpool: 60 or more minutes"
  AMQHE051:," Car, truck, or van: Carpooled: In 3-or-more-person carpool"
  AMQHE052:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: Less than 10 minutes"
  AMQHE053:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 10 to 14 minutes"
  AMQHE054:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 15 to 19 minutes"
  AMQHE055:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 20 to 24 minutes"
  AMQHE056:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 25 to 29 minutes"
  AMQHE057:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 30 to 34 minutes"
  AMQHE058:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 35 to 44 minutes"
  AMQHE059:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 45 to 59 minutes"
  AMQHE060:," Car, truck, or van: Carpooled: In 3-or-more-person carpool: 60 or more minutes"
  AMQHE061:," Public transportation (excluding taxicab)"
  AMQHE062:," Public transportation (excluding taxicab): Less than 10 minutes"
  AMQHE063:," Public transportation (excluding taxicab): 10 to 14 minutes"
  AMQHE064:," Public transportation (excluding taxicab): 15 to 19 minutes"
  AMQHE065:," Public transportation (excluding taxicab): 20 to 24 minutes"
  AMQHE066:," Public transportation (excluding taxicab): 25 to 29 minutes"
  AMQHE067:," Public transportation (excluding taxicab): 30 to 34 minutes"
  AMQHE068:," Public transportation (excluding taxicab): 35 to 44 minutes"
  AMQHE069:," Public transportation (excluding taxicab): 45 to 59 minutes"
  AMQHE070:," Public transportation (excluding taxicab): 60 or more minutes"
  AMQHE071:," Public transportation (excluding taxicab): Bus"
  AMQHE072:," Public transportation (excluding taxicab): Bus: Less than 10 minutes"
  AMQHE073:," Public transportation (excluding taxicab): Bus: 10 to 14 minutes"
  AMQHE074:," Public transportation (excluding taxicab): Bus: 15 to 19 minutes"
  AMQHE075:," Public transportation (excluding taxicab): Bus: 20 to 24 minutes"
  AMQHE076:," Public transportation (excluding taxicab): Bus: 25 to 29 minutes"
  AMQHE077:," Public transportation (excluding taxicab): Bus: 30 to 34 minutes"
  AMQHE078:," Public transportation (excluding taxicab): Bus: 35 to 44 minutes"
  AMQHE079:," Public transportation (excluding taxicab): Bus: 45 to 59 minutes"
  AMQHE080:," Public transportation (excluding taxicab): Bus: 60 or more minutes"
  AMQHE081:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico)"
  AMQHE082:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): Less than 10 minutes"
  AMQHE083:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 10 to 14 minutes"
  AMQHE084:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 15 to 19 minutes"
  AMQHE085:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 20 to 24 minutes"
  AMQHE086:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 25 to 29 minutes"
  AMQHE087:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 30 to 34 minutes"
  AMQHE088:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 35 to 44 minutes"
  AMQHE089:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 45 to 59 minutes"
  AMQHE090:," Public transportation (excluding taxicab): Subway or elevated rail, Light rail, streetcar, or trolley (carro publico in Puerto Rico): 60 or more minutes"
  AMQHE091:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat"
  AMQHE092:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: Less than 10 minutes"
  AMQHE093:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 10 to 14 minutes"
  AMQHE094:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 15 to 19 minutes"
  AMQHE095:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 20 to 24 minutes"
  AMQHE096:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 25 to 29 minutes"
  AMQHE097:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 30 to 34 minutes"
  AMQHE098:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 35 to 44 minutes"
  AMQHE099:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 45 to 59 minutes"
  AMQHE100:," Public transportation (excluding taxicab): Long-distance train or commuter rail or Ferryboat: 60 or more minutes"
  AMQHE101:," Walked"
  AMQHE102:," Walked: Less than 10 minutes"
  AMQHE103:," Walked: 10 to 14 minutes"
  AMQHE104:," Walked: 15 to 19 minutes"
  AMQHE105:," Walked: 20 to 24 minutes"
  AMQHE106:," Walked: 25 to 29 minutes"
  AMQHE107:," Walked: 30 to 34 minutes"
  AMQHE108:," Walked: 35 to 44 minutes"
  AMQHE109:," Walked: 45 to 59 minutes"
  AMQHE110:," Walked: 60 or more minutes"
  AMQHE111:," Taxicab, motorcycle, bicycle, or other means"
  AMQHE112:," Taxicab, motorcycle, bicycle, or other means: Less than 10 minutes"
  AMQHE113:," Taxicab, motorcycle, bicycle, or other means: 10 to 14 minutes"
  AMQHE114:," Taxicab, motorcycle, bicycle, or other means: 15 to 19 minutes"
  AMQHE115:," Taxicab, motorcycle, bicycle, or other means: 20 to 24 minutes"
  AMQHE116:," Taxicab, motorcycle, bicycle, or other means: 25 to 29 minutes"
  AMQHE117:," Taxicab, motorcycle, bicycle, or other means: 30 to 34 minutes"
  AMQHE118:," Taxicab, motorcycle, bicycle, or other means: 35 to 44 minutes"
  AMQHE119:," Taxicab, motorcycle, bicycle, or other means: 45 to 59 minutes"
  AMQHE120:," Taxicab, motorcycle, bicycle, or other means: 60 or more minutes"
  AMQKE001:," Total"
  AMQKE002:," Car, truck, or van"
  AMQKE003:," Car, truck, or van: Drove alone"
  AMQKE004:," Car, truck, or van: Carpooled"
  AMQKE005:," Car, truck, or van: Carpooled: In 2-person carpool"
  AMQKE006:," Car, truck, or van: Carpooled: In 3-person carpool"
  AMQKE007:," Car, truck, or van: Carpooled: In 4-person carpool"
  AMQKE008:," Car, truck, or van: Carpooled: In 5- or 6-person carpool"
  AMQKE009:," Car, truck, or van: Carpooled: In 7-or-more-person carpool"
  AMQKE010:," Public transportation (excluding taxicab)"
  AMQKE011:," Public transportation (excluding taxicab): Bus"
  AMQKE012:," Public transportation (excluding taxicab): Subway or elevated rail"
  AMQKE013:," Public transportation (excluding taxicab): Long-distance train or commuter rail"
  AMQKE014:," Public transportation (excluding taxicab): Light rail, streetcar or trolley (carro publico in Puerto Rico)"
  AMQKE015:," Public transportation (excluding taxicab): Ferryboat"
  AMQKE016:," Taxicab"
  AMQKE017:," Motorcycle"
  AMQKE018:," Bicycle"
  AMQKE019:," Walked"
  AMQKE020:," Other means"
  AMQKE021:," Worked from home"
  AMQME001:," Total"
  AMQME002:," Less than 5 minutes"
  AMQME003:," 5 to 9 minutes"
  AMQME004:," 10 to 14 minutes"
  AMQME005:," 15 to 19 minutes"
  AMQME006:," 20 to 24 minutes"
  AMQME007:," 25 to 29 minutes"
  AMQME008:," 30 to 34 minutes"
  AMQME009:," 35 to 39 minutes"
  AMQME010:," 40 to 44 minutes"
  AMQME011:," 45 to 59 minutes"
  AMQME012:," 60 to 89 minutes"
  AMQME013:," 90 or more minutes"
  AMQNE001:," Total"
  AMQNE002:," In married-couple families"
  AMQNE003:," In married-couple families: Under 3 years"
  AMQNE004:," In married-couple families: 3 and 4 years"
  AMQNE005:," In married-couple families: 5 years"
  AMQNE006:," In married-couple families: 6 to 11 years"
  AMQNE007:," In married-couple families: 12 to 17 years"
  AMQNE008:," In other families"
  AMQNE009:," In other families: Male householder, no spouse present"
  AMQNE010:," In other families: Male householder, no spouse present: Under 3 years"
  AMQNE011:," In other families: Male householder, no spouse present: 3 and 4 years"
  AMQNE012:," In other families: Male householder, no spouse present: 5 years"
  AMQNE013:," In other families: Male householder, no spouse present: 6 to 11 years"
  AMQNE014:," In other families: Male householder, no spouse present: 12 to 17 years"
  AMQNE015:," In other families: Female householder, no spouse present"
  AMQNE016:," In other families: Female householder, no spouse present: Under 3 years"
  AMQNE017:," In other families: Female householder, no spouse present: 3 and 4 years"
  AMQNE018:," In other families: Female householder, no spouse present: 5 years"
  AMQNE019:," In other families: Female householder, no spouse present: 6 to 11 years"
  AMQNE020:," In other families: Female householder, no spouse present: 12 to 17 years"
  AMQPE001:," Total"
  AMQPE002:," In households"
  AMQPE003:," In households: Householder"
  AMQPE004:," In households: Householder: Male"
  AMQPE005:," In households: Householder: Male: Living alone"
  AMQPE006:," In households: Householder: Male: Not living alone"
  AMQPE007:," In households: Householder: Female"
  AMQPE008:," In households: Householder: Female: Living alone"
  AMQPE009:," In households: Householder: Female: Not living alone"
  AMQPE010:," In households: Opposite-sex spouse"
  AMQPE011:," In households: Same-sex spouse"
  AMQPE012:," In households: Opposite-sex unmarried partner"
  AMQPE013:," In households: Same-sex unmarried partner"
  AMQPE014:," In households: Child"
  AMQPE015:," In households: Child: Biological child"
  AMQPE016:," In households: Child: Adopted child"
  AMQPE017:," In households: Child: Stepchild"
  AMQPE018:," In households: Grandchild"
  AMQPE019:," In households: Brother or sister"
  AMQPE020:," In households: Parent"
  AMQPE021:," In households: Parent-in-law"
  AMQPE022:," In households: Son-in-law or daughter-in-law"
  AMQPE023:," In households: Other relatives"
  AMQPE024:," In households: Foster child"
  AMQPE025:," In households: Other nonrelatives"
  AMQPE026:," In group quarters"
  AMQSE001:," Total"
  AMQSE002:," Family households"
  AMQSE003:," Family households: Married-couple family"
  AMQSE004:," Family households: Other family"
  AMQSE005:," Family households: Other family: Male householder, no spouse present"
  AMQSE006:," Family households: Other family: Female householder, no spouse present"
  AMQSE007:," Nonfamily households"
  AMQSE008:," Nonfamily households: Householder living alone"
  AMQSE009:," Nonfamily households: Householder not living alone"
  AMRIE001:," Total"
  AMRIE002:," Married-couple household"
  AMRIE003:," Married-couple household: With children of the householder under 18 years"
  AMRIE004:," Married-couple household: With no children of the householder under 18 years"
  AMRIE005:," Cohabiting couple household"
  AMRIE006:," Cohabiting couple household: With children of the householder under 18 years"
  AMRIE007:," Cohabiting couple household: With no children of the householder under 18 years"
  AMRIE008:," Female householder, no spouse or partner present"
  AMRIE009:," Female householder, no spouse or partner present: Living alone"
  AMRIE010:," Female householder, no spouse or partner present: With children of the householder under 18 years"
  AMRIE011:," Female householder, no spouse or partner present: With relatives, no children of the householder under 18 years"
  AMRIE012:," Female householder, no spouse or partner present: With only nonrelatives present"
  AMRIE013:," Male householder, no spouse or partner present"
  AMRIE014:," Male householder, no spouse or partner present: Living alone"
  AMRIE015:," Male householder, no spouse or partner present: With children of the householder under 18 years"
  AMRIE016:," Male householder, no spouse or partner present: With relatives, no children of the householder under 18 years"
  AMRIE017:," Male householder, no spouse or partner present: With only nonrelatives present"
  AMRKE001:," Total"
  AMRKE002:," Family households"
  AMRKE003:," Family households: 2-person household"
  AMRKE004:," Family households: 3-person household"
  AMRKE005:," Family households: 4-person household"
  AMRKE006:," Family households: 5-person household"
  AMRKE007:," Family households: 6-person household"
  AMRKE008:," Family households: 7-or-more person household"
  AMRKE009:," Nonfamily households"
  AMRKE010:," Nonfamily households: 1-person household"
  AMRKE011:," Nonfamily households: 2-person household"
  AMRKE012:," Nonfamily households: 3-person household"
  AMRKE013:," Nonfamily households: 4-person household"
  AMRKE014:," Nonfamily households: 5-person household"
  AMRKE015:," Nonfamily households: 6-person household"
  AMRKE016:," Nonfamily households: 7-or-more person household"
  AMRYE001:," Total"
  AMRYE002:," Male"
  AMRYE003:," Male: No schooling completed"
  AMRYE004:," Male: Nursery to 4th grade"
  AMRYE005:," Male: 5th and 6th grade"
  AMRYE006:," Male: 7th and 8th grade"
  AMRYE007:," Male: 9th grade"
  AMRYE008:," Male: 10th grade"
  AMRYE009:," Male: 11th grade"
  AMRYE010:," Male: 12th grade, no diploma"
  AMRYE011:," Male: High school graduate (includes equivalency)"
  AMRYE012:," Male: Some college, less than 1 year"
  AMRYE013:," Male: Some college, 1 or more years, no degree"
  AMRYE014:," Male: Associate's degree"
  AMRYE015:," Male: Bachelor's degree"
  AMRYE016:," Male: Master's degree"
  AMRYE017:," Male: Professional school degree"
  AMRYE018:," Male: Doctorate degree"
  AMRYE019:," Female"
  AMRYE020:," Female: No schooling completed"
  AMRYE021:," Female: Nursery to 4th grade"
  AMRYE022:," Female: 5th and 6th grade"
  AMRYE023:," Female: 7th and 8th grade"
  AMRYE024:," Female: 9th grade"
  AMRYE025:," Female: 10th grade"
  AMRYE026:," Female: 11th grade"
  AMRYE027:," Female: 12th grade, no diploma"
  AMRYE028:," Female: High school graduate (includes equivalency)"
  AMRYE029:," Female: Some college, less than 1 year"
  AMRYE030:," Female: Some college, 1 or more years, no degree"
  AMRYE031:," Female: Associate's degree"
  AMRYE032:," Female: Bachelor's degree"
  AMRYE033:," Female: Master's degree"
  AMRYE034:," Female: Professional school degree"
  AMRYE035:," Female: Doctorate degree"
  AMRZE001:," Total"
  AMRZE002:," No schooling completed"
  AMRZE003:," Nursery school"
  AMRZE004:," Kindergarten"
  AMRZE005:," 1st grade"
  AMRZE006:," 2nd grade"
  AMRZE007:," 3rd grade"
  AMRZE008:," 4th grade"
  AMRZE009:," 5th grade"
  AMRZE010:," 6th grade"
  AMRZE011:," 7th grade"
  AMRZE012:," 8th grade"
  AMRZE013:," 9th grade"
  AMRZE014:," 10th grade"
  AMRZE015:," 11th grade"
  AMRZE016:," 12th grade, no diploma"
  AMRZE017:," Regular high school diploma"
  AMRZE018:," GED or alternative credential"
  AMRZE019:," Some college, less than 1 year"
  AMRZE020:," Some college, 1 or more years, no degree"
  AMRZE021:," Associate's degree"
  AMRZE022:," Bachelor's degree"
  AMRZE023:," Master's degree"
  AMRZE024:," Professional school degree"
  AMRZE025:," Doctorate degree"
  AMZLE001:," Total"
  AMZLE002:," English only"
  AMZLE003:," Spanish"
  AMZLE004:," Spanish: Limited English speaking household"
  AMZLE005:," Spanish: Not a limited English speaking household"
  AMZLE006:," Other Indo-European languages"
  AMZLE007:," Other Indo-European languages: Limited English speaking household"
  AMZLE008:," Other Indo-European languages: Not a limited English speaking household"
  AMZLE009:," Asian and Pacific Island languages"
  AMZLE010:," Asian and Pacific Island languages: Limited English speaking household"
  AMZLE011:," Asian and Pacific Island languages: Not a limited English speaking household"
  AMZLE012:," Other languages"
  AMZLE013:," Other languages: Limited English speaking household"
  AMZLE014:," Other languages: Not a limited English speaking household"
  AMZME001:," Total"
  AMZME002:," Under .50"
  AMZME003:," .50 to .99"
  AMZME004:," 1.00 to 1.24"
  AMZME005:," 1.25 to 1.49"
  AMZME006:," 1.50 to 1.84"
  AMZME007:," 1.85 to 1.99"
  AMZME008:," 2.00 and over"
  AMR3E001:," Total"
  AMR3E002:," Income in the past 12 months below poverty level"
  AMR3E003:," Income in the past 12 months below poverty level: Married-couple family"
  AMR3E004:," Income in the past 12 months below poverty level: Married-couple family: With related children of the householder under 18 years"
  AMR3E005:," Income in the past 12 months below poverty level: Married-couple family: With related children of the householder under 18 years: Under 5 years only"
  AMR3E006:," Income in the past 12 months below poverty level: Married-couple family: With related children of the householder under 18 years: Under 5 years and 5 to 17 years"
  AMR3E007:," Income in the past 12 months below poverty level: Married-couple family: With related children of the householder under 18 years: 5 to 17 years only"
  AMR3E008:," Income in the past 12 months below poverty level: Married-couple family: No related children of the householder under 18 years"
  AMR3E009:," Income in the past 12 months below poverty level: Other family"
  AMR3E010:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present"
  AMR3E011:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years"
  AMR3E012:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years: Under 5 years only"
  AMR3E013:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years: Under 5 years and 5 to 17 years"
  AMR3E014:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years: 5 to 17 years only"
  AMR3E015:," Income in the past 12 months below poverty level: Other family: Male householder, no spouse present: No related children of the householder under 18 years"
  AMR3E016:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present"
  AMR3E017:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present: With related children of the householder under 18 years"
  AMR3E018:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present: With related children of the householder under 18 years: Under 5 years only"
  AMR3E019:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present: With related children of the householder under 18 years: Under 5 years and 5 to 17 years"
  AMR3E020:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present: With related children of the householder under 18 years: 5 to 17 years only"
  AMR3E021:," Income in the past 12 months below poverty level: Other family: Female householder, no spouse present: No related children of the householder under 18 years"
  AMR3E022:," Income in the past 12 months at or above poverty level"
  AMR3E023:," Income in the past 12 months at or above poverty level: Married-couple family"
  AMR3E024:," Income in the past 12 months at or above poverty level: Married-couple family: With related children of the householder under 18 years"
  AMR3E025:," Income in the past 12 months at or above poverty level: Married-couple family: With related children of the householder under 18 years: Under 5 years only"
  AMR3E026:," Income in the past 12 months at or above poverty level: Married-couple family: With related children of the householder under 18 years: Under 5 years and 5 to 17 years"
  AMR3E027:," Income in the past 12 months at or above poverty level: Married-couple family: With related children of the householder under 18 years: 5 to 17 years only"
  AMR3E028:," Income in the past 12 months at or above poverty level: Married-couple family: No related children of the householder under 18 years"
  AMR3E029:," Income in the past 12 months at or above poverty level: Other family"
  AMR3E030:," Income in the past 12 months at or above poverty level: Other family: Male householder, no spouse present"
  AMR3E031:," Income in the past 12 months at or above poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years"
  AMR3E032:," Income in the past 12 months at or above poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years: Under 5 years only"
  AMR3E033:," Income in the past 12 months at or above poverty level: Other family: Male householder, no spouse present: With related children of the householder under 18 years: Under 5 years and 5 to 17 years"
