NHGIS,Name
  QUSE017:,"  Regular high school diploma"
  QUSE018:,"  GED or alternative credential"
  QUSE019:,"  Some college, less than 1 year"
  QUSE020:,"  Some college, 1 or more years, no degree"
  QUSE021:,"  Associate's degree"
  QUSE022:,"  Bachelor's degree"
  QUSE023:,"  Master's degree"
  QUSE024:,"  Professional school degree"
  QUSE025:,"  Doctorate degree"
  QUVE001:,"  Total"
  QUVE002:,"  Under .50"
  QUVE003:,"  .50 to .99"
  QUVE004:,"  1.00 to 1.24"
  QUVE005:,"  1.25 to 1.49"
  QUVE006:,"  1.50 to 1.84"
  QUVE007:,"  1.85 to 1.99"
  QUVE008:,"  2.00 and over"
  QU0E001:,"  Total"
  QU0E002:,"  Less than $10,000"
  QU0E003:,"  $10,000 to $14,999"
  QU0E004:,"  $15,000 to $19,999"
  QU0E005:,"  $20,000 to $24,999"
  QU0E006:,"  $25,000 to $29,999"
  QU0E007:,"  $30,000 to $34,999"
  QU0E008:,"  $35,000 to $39,999"
  QU0E009:,"  $40,000 to $44,999"
  QU0E010:,"  $45,000 to $49,999"
  QU0E011:,"  $50,000 to $59,999"
  QU0E012:,"  $60,000 to $74,999"
  QU0E013:,"  $75,000 to $99,999"
  QU0E014:,"  $100,000 to $124,999"
  QU0E015:,"  $125,000 to $149,999"
  QU0E016:,"  $150,000 to $199,999"
  QU0E017:,"  $200,000 or more"
  QU1E001:,"  Median household income in the past 12 months (in 2012 inflation-adjusted dollars)"
  QWUE001:,"  Per capita income in the past 12 months (in 2012 inflation-adjusted dollars)"
  QXSE001:,"  Total"
  QXSE002:,"  In labor force"
  QXSE003:,"  In labor force: Civilian labor force"
  QXSE004:,"  In labor force: Civilian labor force: Employed"
  QXSE005:,"  In labor force: Civilian labor force: Unemployed"
  QXSE006:,"  In labor force: Armed Forces"
  QXSE007:,"  Not in labor force"
  QX6E001:,"  Total"
  QX7E001:,"  Total"
  QX7E002:,"  Occupied"
  QX7E003:,"  Vacant"
  QX8E001:,"  Total"
  QX8E002:,"  Owner occupied"
  QX8E003:,"  Renter occupied"
  QZTE001:,"  Median gross rent"
  QZ6E001:,"  Median value (dollars)"
